,Original JPG,Binary PNG,IoU,Recall
2399,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 07.png,0.1654611211573237,0.5619242579324463
2400,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 13.png,0.0,0.0
2401,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 05.png,0.17133393556157783,0.5600393700787402
2402,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 03.png,0.11284366023799754,0.5445544554455446
2403,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 02.png,0.08579881656804733,0.5429515418502202
2404,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 01.png,0.11177347242921014,0.5508919202518363
2405,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 24.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 24.png,0.12179632569743706,0.540241448692153
2406,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 09.png,0.13675601999091322,0.30589430894308944
2407,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 04.png,0.12508004268943437,0.549203373945642
2408,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 19.png,0.09852750108271979,0.479957805907173
2409,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 12.png,0.0,0.0
2410,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 16.png,0.0,0.0
2411,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 21.png,0.11038374717832958,0.5344262295081967
2412,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 08.png,0.10087804878048781,0.5318930041152263
2413,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 14.png,0.0,0.0
2414,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 17.png,0.0,0.0
2415,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 10.png,0.0,0.0
2416,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/1 (3-19-2018 10-22-19 AM)/1 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/1.1/1 21.png,0.0,0.0
2417,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/1 (3-19-2018 10-22-19 AM)/1 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/1.1/1 09.png,0.12008412197686645,0.5814663951120163
